hKod;Nazwa;"pszenica 1 dt;1999;[zł]";"pszenica 1 dt;2000;[zł]";"pszenica 1 dt;2001;[zł]";"pszenica 1 dt;2002;[zł]";"pszenica 1 dt;2003;[zł]";"pszenica 1 dt;2004;[zł]";"pszenica 1 dt;2005;[zł]";"pszenica 1 dt;2006;[zł]";"pszenica 1 dt;2007;[zł]";"pszenica 1 dt;2008;[zł]";"pszenica 1 dt;2009;[zł]";"pszenica 1 dt;2010;[zł]";"pszenica 1 dt;2011;[zł]";"pszenica 1 dt;2012;[zł]";"pszenica 1 dt;2013;[zł]";"pszenica 1 dt;2014;[zł]";"pszenica 1 dt;2015;[zł]";"pszenica 1 dt;2016;[zł]";"pszenica 1 dt;2017;[zł]";"pszenica 1 dt;2018;[zł]";"pszenica 1 dt;2019;[zł]";"pszenica 1 dt;2020;[zł]";"pszenica 1 dt;2021;[zł]";"pszenica 1 dt;2022;[zł]";"pszenica 1 dt;2023;[zł]";"pszenica 1 dt;2024;[zł]";"pszenica 1 dt;2025;[zł]";"pszenica 1 dt;2026;[zł]";"pszenica 1 dt;2027;[zł]";"pszenica 1 dt;2028;[zł]";"żyto 1 dt;1999;[zł]";"żyto 1 dt;2000;[zł]";"żyto 1 dt;2001;[zł]";"żyto 1 dt;2002;[zł]";"żyto 1 dt;2003;[zł]";"żyto 1 dt;2004;[zł]";"żyto 1 dt;2005;[zł]";"żyto 1 dt;2006;[zł]";"żyto 1 dt;2007;[zł]";"żyto 1 dt;2008;[zł]";"żyto 1 dt;2009;[zł]";"żyto 1 dt;2010;[zł]";"żyto 1 dt;2011;[zł]";"żyto 1 dt;2012;[zł]";"żyto 1 dt;2013;[zł]";"żyto 1 dt;2014;[zł]";"żyto 1 dt;2015;[zł]";"żyto 1 dt;2016;[zł]";"żyto 1 dt;2017;[zł]";"żyto 1 dt;2018;[zł]";"żyto 1 dt;2019;[zł]";"żyto 1 dt;2020;[zł]";"żyto 1 dt;2021;[zł]";"żyto 1 dt;2022;[zł]";"żyto 1 dt;2023;[zł]";"żyto 1 dt;2024;[zł]";"żyto 1 dt;2025;[zł]";"żyto 1 dt;2026;[zł]";"żyto 1 dt;2027;[zł]";"żyto 1 dt;2028;[zł]";"jęczmień 1 dt;1999;[zł]";"jęczmień 1 dt;2000;[zł]";"jęczmień 1 dt;2001;[zł]";"jęczmień 1 dt;2002;[zł]";"jęczmień 1 dt;2003;[zł]";"jęczmień 1 dt;2004;[zł]";"jęczmień 1 dt;2005;[zł]";"jęczmień 1 dt;2006;[zł]";"jęczmień 1 dt;2007;[zł]";"jęczmień 1 dt;2008;[zł]";"jęczmień 1 dt;2009;[zł]";"jęczmień 1 dt;2010;[zł]";"jęczmień 1 dt;2011;[zł]";"jęczmień 1 dt;2012;[zł]";"jęczmień 1 dt;2013;[zł]";"jęczmień 1 dt;2014;[zł]";"jęczmień 1 dt;2015;[zł]";"jęczmień 1 dt;2016;[zł]";"jęczmień 1 dt;2017;[zł]";"jęczmień 1 dt;2018;[zł]";"jęczmień 1 dt;2019;[zł]";"jęczmień 1 dt;2020;[zł]";"jęczmień 1 dt;2021;[zł]";"jęczmień 1 dt;2022;[zł]";"jęczmień 1 dt;2023;[zł]";"jęczmień 1 dt;2024;[zł]";"jęczmień 1 dt;2025;[zł]";"jęczmień 1 dt;2026;[zł]";"jęczmień 1 dt;2027;[zł]";"jęczmień 1 dt;2028;[zł]";"owies i mieszanki zbożowe 1 dt;1999;[zł]";"owies i mieszanki zbożowe 1 dt;2000;[zł]";"owies i mieszanki zbożowe 1 dt;2001;[zł]";"owies i mieszanki zbożowe 1 dt;2002;[zł]";"owies i mieszanki zbożowe 1 dt;2003;[zł]";"owies i mieszanki zbożowe 1 dt;2004;[zł]";"owies i mieszanki zbożowe 1 dt;2005;[zł]";"owies i mieszanki zbożowe 1 dt;2006;[zł]";"owies i mieszanki zbożowe 1 dt;2007;[zł]";"owies i mieszanki zbożowe 1 dt;2008;[zł]";"owies i mieszanki zbożowe 1 dt;2009;[zł]";"owies i mieszanki zbożowe 1 dt;2010;[zł]";"owies i mieszanki zbożowe 1 dt;2011;[zł]";"owies i mieszanki zbożowe 1 dt;2012;[zł]";"owies i mieszanki zbożowe 1 dt;2013;[zł]";"owies i mieszanki zbożowe 1 dt;2014;[zł]";"owies i mieszanki zbożowe 1 dt;2015;[zł]";"owies i mieszanki zbożowe 1 dt;2016;[zł]";"owies i mieszanki zbożowe 1 dt;2017;[zł]";"owies i mieszanki zbożowe 1 dt;2018;[zł]";"owies i mieszanki zbożowe 1 dt;2019;[zł]";"owies i mieszanki zbożowe 1 dt;2020;[zł]";"owies i mieszanki zbożowe 1 dt;2021;[zł]";"owies i mieszanki zbożowe 1 dt;2022;[zł]";"owies i mieszanki zbożowe 1 dt;2023;[zł]";"owies i mieszanki zbożowe 1 dt;2024;[zł]";"owies i mieszanki zbożowe 1 dt;2025;[zł]";"owies i mieszanki zbożowe 1 dt;2026;[zł]";"owies i mieszanki zbożowe 1 dt;2027;[zł]";"owies i mieszanki zbożowe 1 dt;2028;[zł]";"pszenżyto 1 dt;1999;[zł]";"pszenżyto 1 dt;2000;[zł]";"pszenżyto 1 dt;2001;[zł]";"pszenżyto 1 dt;2002;[zł]";"pszenżyto 1 dt;2003;[zł]";"pszenżyto 1 dt;2004;[zł]";"pszenżyto 1 dt;2005;[zł]";"pszenżyto 1 dt;2006;[zł]";"pszenżyto 1 dt;2007;[zł]";"pszenżyto 1 dt;2008;[zł]";"pszenżyto 1 dt;2009;[zł]";"pszenżyto 1 dt;2010;[zł]";"pszenżyto 1 dt;2011;[zł]";"pszenżyto 1 dt;2012;[zł]";"pszenżyto 1 dt;2013;[zł]";"pszenżyto 1 dt;2014;[zł]";"pszenżyto 1 dt;2015;[zł]";"pszenżyto 1 dt;2016;[zł]";"pszenżyto 1 dt;2017;[zł]";"pszenżyto 1 dt;2018;[zł]";"pszenżyto 1 dt;2019;[zł]";"pszenżyto 1 dt;2020;[zł]";"pszenżyto 1 dt;2021;[zł]";"pszenżyto 1 dt;2022;[zł]";"pszenżyto 1 dt;2023;[zł]";"pszenżyto 1 dt;2024;[zł]";"pszenżyto 1 dt;2025;[zł]";"pszenżyto 1 dt;2026;[zł]";"pszenżyto 1 dt;2027;[zł]";"pszenżyto 1 dt;2028;[zł]"
0;POLSKA;42,98;50,82;50,45;43,61;45,51;47,19;36,69;44,76;70,68;64,24;48,26;59,84;81,99;89,34;79,67;68,36;66,83;62,02;66,44;72,62;72,26;74,86;96,76;151,99;93,7;97,91;103,04;108,68;111,06;102,88;30,13;36,15;36,46;33,19;35,35;35,17;27,64;38,52;60,21;51,65;32,74;42,12;74,24;74,23;55,36;53,34;51,42;51,73;54,67;59,67;60,38;55,97;75,36;120,79;74,43;77,39;80,79;85,75;87,83;81,24;38,42;50,11;48,04;43,72;48,18;48,91;37,34;40,24;64,11;64,37;40,8;48,98;75,38;81,91;73,34;62,67;61,04;58,21;61,22;67,96;67,37;63,63;78,27;129,96;81,44;84,13;87,49;92,26;95,06;88,08;28,09;38,89;37,51;32,4;40,41;37,59;29,15;34,85;52,83;50,34;30,82;34,3;64,34;65,07;52,67;50,39;48,35;51,29;51,43;58,24;61,65;57,27;63,69;113,15;70,8;73,31;75,64;79,32;82,44;76,3;34,78;46,09;40,28;37,01;43,63;41,45;30,85;36,88;61,11;52,9;37,05;46,65;72,01;80;65,17;59;56,23;57,19;58,34;66,06;64,87;62,63;82,96;135,4;82,38;85,65;89,8;95,24;97,69;90,15
200000;DOLNOŚLĄSKIE;41,49;50,73;49,56;42,8;45,82;46,3;36,13;46,39;70,28;62,65;47,65;60,15;82,44;88,94;78,01;65,83;65,57;59,89;64,4;72,25;70,68;71,72;96,33;153,24;92,84;96,96;102,22;108,32;110,72;102,21;28,04;37,54;35,88;32,22;35,03;32,28;25,63;38,57;61,63;52,18;31,3;38,13;70,25;75,32;54,86;51,56;50,87;49,21;56,87;61,56;59,32;53,02;72,83;120,72;73,49;75,88;79,19;84,42;86,74;79,94;36,28;49,6;45,98;42,86;50,65;49,5;39,33;40,6;65,51;67,94;40,49;53,48;80,13;86,4;72,02;63,78;65,21;61,87;63,24;67,14;66,39;63,4;75,15;134,76;81,37;84,21;87,78;92,65;96,15;88,43;29,07;39,61;37,96;33,69;36,5;40,35;25,53;34,67;52,9;50,39;37,01;31,99;59,51;64,06;54,49;52,73;46,77;50,19;49,84;55,15;60,38;57,8;62,86;108,52;68,94;71,7;73,96;77,2;80,06;74,37;33,85;46,56;39,87;35,92;41,18;38,71;30,45;37,44;61,43;51,74;36,66;48,11;69,98;80,83;63,72;56,94;51,87;55,25;56,57;65,96;61,58;60,47;77,05;129,78;78,97;81,57;85,57;90,59;93,3;86
400000;KUJAWSKO-POMORSKIE;43,82;52,12;51,46;44,45;45,55;48,39;37,9;45,22;73,89;67,5;49,65;60,36;83,16;88,97;78,87;71,34;69,16;64,63;70,09;72,58;73,09;75,51;96,98;158,37;95,31;99,85;105,2;111,14;113,97;105,09;30,49;36,66;37,1;34,53;34,99;36,51;29,91;39,34;63,49;57,77;34,43;41,45;76,98;75,15;53,89;54,4;52,81;52,85;54,9;62,14;59,69;56,44;75,5;119,49;74,65;77,15;80,65;85,49;87,49;81,09;40,01;49,24;45,06;40,3;46,01;48,27;35,65;38,2;64,16;70,98;40,36;48,09;72,44;79,22;74,2;64,23;60,08;55,73;61,36;68,94;71,3;64,64;80,41;132,09;83,48;86,38;89,4;94,35;97,14;90,15;31,23;41,04;38,05;32,13;38,51;41,2;30,48;32,42;57,71;62,17;35;34,49;59,63;65,67;59,9;51,89;50,84;54,6;55,19;56,59;62,91;56,5;69,72;111,81;71,51;74,49;76,81;80,87;83,1;77,36;36,93;47,4;39,79;37,57;45,35;44,08;31;37,46;69,4;57,48;38,06;46,17;75,16;81,44;64,87;60,38;58,32;58,86;60;65,22;65;63,32;85,27;136,89;83,14;86,72;91,07;96,62;98,89;91,29
600000;LUBELSKIE;42,25;50,88;49,85;41,83;46,48;50,02;34,53;43,51;70,22;65,75;46,04;59;80,32;86,41;80,37;65,63;62,72;58,86;64,24;69,5;70,11;72,06;92,83;142,92;89,48;93,48;98,15;103,37;105,48;97,99;30,68;36,41;35,92;33,46;35,4;36,47;25,72;36,35;60,36;56,65;32,2;39,6;70,14;70,46;57,55;47,94;44,83;48,01;54,37;57,47;56,71;51,22;71,55;108,41;69,07;71,39;74,33;78,95;80,43;74,83;38,94;49,93;44,26;43,39;46,85;48,73;35,77;40,65;64,61;65,53;42,47;50,24;79,07;84,41;75,37;66,61;61,47;61,06;64,42;71,4;70,43;67,41;81,84;133,5;84,92;87,62;91,06;95,79;98,58;91,59;32,81;44,9;39,95;35,06;38,03;41,66;25,37;35,99;54,61;51,29;31,35;33,75;58,65;59,66;54,55;48,77;42,35;53,51;52,76;58,16;61,51;52,56;59,56;100,12;66,38;68,03;69,33;72,68;75,31;70,35;37,46;46,52;43,39;38,61;43,32;46,51;28,83;34,64;64,9;55,7;36,19;44,37;68,91;76,05;70,03;53,66;49,42;49,81;55,33;62,18;60,73;59,69;79,75;122,8;77,03;80;83,85;88,69;90,47;84,01
800000;LUBUSKIE;43,6;50,61;50,38;43,79;45,85;44,95;35,81;46,7;70,98;61,92;47,38;57,48;82,57;89,93;76,02;67,66;67,12;62,34;65,76;72,08;67,66;73,56;97,86;155,31;93,29;97,54;103,51;109,5;111,83;103,13;29,01;35,67;36,24;32,72;35,61;33,63;27,63;37,11;56,75;52,44;32,69;40,99;70,6;74,57;52,7;53,95;50,82;52,63;54,79;61,84;62,86;61,85;77,47;123,9;77,58;80,73;84,31;88,8;91,06;84,5;36,17;48,3;43,78;41,64;47,27;45,64;34,46;38,95;60,66;62,28;38,38;46,89;69,94;79,36;72,33;58,4;56,71;54,17;55,88;63,5;61,37;60,44;74,64;124,47;76,88;79,56;83,2;87,75;90,37;83,55;26,44;35,72;39,64;32,53;35,54;35,1;26,52;32,5;49,51;47,5;29,61;28,65;58,05;65,61;52,47;48,03;53,53;52,12;55,48;61,69;58,48;55,59;66,28;106,44;69,7;71,3;73,86;77,52;79,76;74,43;32,61;45,28;38,19;36,33;42,98;38,97;28,99;36,43;56,78;52,22;32,74;46,56;72,34;79,94;64,58;58,2;57,7;57,8;59,5;66,99;62,95;62,52;84,62;146,47;84,71;88,25;93,31;99,47;102,44;93,64
1000000;ŁÓDZKIE;42,7;54,47;51,79;44,58;48,36;53,03;38,01;45,16;68,55;71,53;48,79;60,45;84,93;89,27;83,2;69,11;66,45;61,72;66,91;71,68;73,81;74,54;96,59;147,81;92,89;97,13;101,79;107,24;109,37;101,68;30,86;40,1;39,14;33,83;38,54;40,67;26,63;38,38;62,12;57,91;30,59;38,66;74,98;75,19;60,25;49,71;49,47;52,11;56,54;59,75;61,5;53,28;73,31;115,77;72,72;75,32;78,08;83,04;84,99;78,83;39,53;52,37;48,55;40,54;48,93;53,01;36,69;40,63;62,09;66,35;43,12;41,31;75,38;80,1;77,64;62,15;58,24;56,53;61,98;69,67;71,15;64,49;83,7;133,28;84,46;87,42;90,67;95,91;98,35;91,36;32,03;43,6;47,77;37,02;47,27;48,63;31,77;40,13;62,01;55,52;33,59;45,58;64,68;62,08;57,04;46,11;44,17;52,9;50,85;52,65;61,61;54,73;62,43;108,36;67,96;71,02;72,9;76,53;79,35;73,55;36,68;46,91;41,41;38,09;42,32;50,69;30,5;38,87;63,31;59,58;37,67;47,26;74,06;78,68;69,25;57,24;54,37;56,85;58,37;65,2;66,24;63,14;82,33;129,04;81,19;84,39;88,02;92,99;95,13;88,34
1200000;MAŁOPOLSKIE;44,07;51,57;51,7;44,12;48,94;49,72;34,45;44,81;66,67;67,58;45,5;56,83;77,19;87,44;79,19;63,54;63,42;58,3;63,96;71,81;69,3;72,67;94,99;147,79;91,31;95,21;100,39;105,94;108,13;100,2;32,12;43,37;44,06;38,3;39,31;43,18;28,84;41,87;63,41;58,99;35,99;43,46;70,94;70,28;58,42;52,61;50,61;47,27;49,47;54,34;59,84;51,65;67,65;107,07;68,11;70,86;73,07;77,35;79,29;73,74;38,84;52,27;49,98;40,76;46,89;47,49;34,99;44,11;64,95;70,83;42,21;45,98;77,12;77,85;77,34;62,63;54,91;54,38;58,2;67,2;67,78;62;77,74;131,46;81,24;84,04;87,3;92,36;95,28;88,04;28,88;50,75;46,3;39,96;42,61;43,08;31,96;36,18;54,39;55,52;43,37;47,38;71,05;60,43;58,06;60,62;42,47;45;46,88;51,51;60,91;54,25;63,02;98,3;65,6;68,42;69,92;73,05;75,06;70,41;35,71;43,59;44,11;36,2;45,15;42,29;27,28;47,26;50,63;63;40,63;47,5;46,38;77,1;75,49;54,77;50,71;51,24;55,64;62,96;62,99;59,83;79,14;125,83;78,15;81,19;84,83;89,83;91,97;85,19
1400000;MAZOWIECKIE;44,32;50,94;51,7;44,76;45,32;51,32;38,25;44,18;69,91;67,78;49,06;60,86;85,13;90,96;83,38;70,95;67,52;62,93;66,65;73,15;75,19;76,04;99,16;148,53;94,41;98,67;103,36;108,83;110,76;103,21;30,12;36,97;31,17;31,81;35,18;36,59;25,28;42,17;63,48;54,04;32,09;42,41;81,83;73,76;56,4;52,61;50,1;50,79;54,6;58,41;58,4;49,57;76,44;119,29;72,42;75,22;78,59;84,39;85,98;79,32;44,48;55;62,06;51,16;50,21;53,87;40,26;42,49;64,37;70,59;44,27;50,47;79,34;84,7;78,94;65,38;59,36;56,24;60,4;66,24;71,4;62,67;82,41;122,38;81,02;83,98;86,49;91,26;93,03;87,16;33,93;46,45;40,53;37,28;41,95;42,99;34,49;36,22;67,04;58,24;58,88;42,15;104,44;67,21;56,27;57,9;48,39;56,04;54,54;55,88;64,44;55,52;65,31;116,53;71,54;74,67;76,71;80,95;84,08;77,59;39,26;47,7;43,33;36,71;44,18;46,43;31,52;35,64;61,56;54,29;38,49;47,45;78,53;81,28;71,45;61,23;54,02;56,02;58,85;63,79;64,75;61,44;83,01;127,13;80,02;83,27;86,97;92,08;93,89;87,25
1600000;OPOLSKIE;42,74;50,22;48,9;43,54;44,81;45,91;35,71;46,2;69,76;67,33;47,56;60,5;80,34;89,03;80,68;65,42;65,19;59,9;64,05;70,75;71,13;72,69;94,87;149,04;91,7;95,89;100,84;106,47;108,79;100,74;29,55;36,38;35,69;33,24;32,77;34,7;27,08;35,85;57,25;51,82;33,71;40,23;71,99;76,83;53,55;53,3;49,84;48,44;55,64;61,73;58,3;54,83;73,15;114,63;72,53;74,69;77,97;82,59;84,48;78,45;39,22;50,18;46,99;45,98;48,66;50,2;40,01;40,71;65,71;66,24;41,28;50,68;77,76;82,27;74,26;62,51;60,93;59,54;60,67;67,94;65,43;62,03;76,63;125,36;79,48;81,79;85,06;89,66;92,27;85,65;28,76;37,93;37,7;31,03;34,39;35,65;31,76;37,52;59,74;54,29;27,55;34,01;56,21;51,58;55,55;48,07;45,03;45,82;46,46;51,05;53,73;48,3;61,49;105,91;64,1;66,71;69,3;73,5;75,9;69,9;33,72;45,68;36,76;33,02;41,52;38,86;29,38;35,43;56,25;50,07;35,83;53,05;63,54;77,6;61,74;53,08;53,47;49,9;54,33;65,59;65,68;63,29;82,23;129,44;81,25;84,38;88,12;93,08;95,25;88,42
1800000;PODKARPACKIE;43,2;50,99;47,72;42,05;45,75;46,26;33,44;42,97;67,61;64,33;44,27;54,07;72,88;84,25;75,75;62,75;60,37;56,83;62,89;68,44;67,86;68,43;94,61;142;88,27;92,23;97,11;102,84;104,49;96,99;30,5;36,36;35,99;32,51;34,35;34,84;25,69;36,35;58,4;51,52;31;35,23;70,78;68,45;54,19;47,68;46,11;46,26;52,59;56,88;54,59;50,09;76,08;116,12;70,75;73,53;77,31;82,76;84,09;77,69;38,62;47,03;41,32;39,79;42,61;44,99;33,22;37,37;58,45;60,96;36,6;46,63;64,08;74,11;64,13;56,81;52,64;51,31;57,31;65,04;61,93;59,49;76,7;126,29;77,89;80,46;84,17;89,1;91,58;84,64;30,92;37,5;35,66;33,79;41,56;37,61;23,55;31,1;42,63;52,12;34,03;29,67;64,89;53,3;54,27;43,46;44,39;42,05;47,66;51,49;57,79;51,61;59,44;97,72;63,61;66,03;67,68;70,9;73,19;68,28;35,24;39,86;37,1;35,17;38,29;40,38;32,15;34,25;51,99;46,81;36,8;47,48;56,75;69,79;66,12;52,24;48,57;48,3;55,18;58,71;59,93;55,67;74,99;117,78;73,42;76,36;79,64;84,44;86,33;80,04
2000000;PODLASKIE;43,78;51,08;49,85;43,03;44,49;45,7;36;43,75;70,05;65,39;47,82;63,48;85,28;89,44;81,81;69,51;66,8;61,26;65,36;72,77;71,05;72,66;99,07;150,34;93,18;97,26;102,5;108,47;110,35;102,35;30,95;36,91;36,46;32,9;34,11;34,99;25,68;37,11;58,52;50,92;31,31;43,33;77,18;71,56;54,45;51,06;48,07;50,74;54,11;60,67;54,37;48,71;74,49;113,68;70,38;72,33;75,92;81,36;82,73;76,54;42,05;54,33;42,86;40,68;50,6;49,79;34,51;40,36;67,75;61,14;38,37;49,69;74,89;81,07;69,57;63,62;56,38;54,21;61,89;68,37;66,24;64,35;80,39;122,57;80,38;82,79;86,1;90,45;92,46;86,44;32,89;41,8;33;29,88;39,85;33,79;25,04;32,35;50,16;45,72;27,92;30,25;60,37;61,17;51,77;46,8;45,93;51,61;51,21;56,1;61,03;55,99;63,18;110,18;69,3;71,94;74,12;77,74;80,66;74,75;38,93;49,77;38,53;37,66;42,86;41,7;30,33;36,96;60,53;76,04;35,57;43,71;72,49;76,63;69,12;57,17;52,88;53,53;56,58;62,06;62,77;59,57;79,49;128,02;78,38;81,65;85,42;90,59;92,81;85,77
2200000;POMORSKIE;42,55;50;50,29;43,61;44,89;45,02;36,62;42,23;70,57;60,22;49,52;59,49;82,73;91,37;81,5;72,32;70,28;63,96;68,65;76,27;74,37;79,9;98,43;158,15;97,42;101,65;107,11;112,55;115,38;106,82;30,46;34,72;35,09;32,51;34,54;32,46;28,92;38,9;60,15;48,99;31,93;44,88;75,76;74,1;56,16;54,83;52,93;52,28;53,19;61,42;59,06;54,68;75,89;118,75;73,96;76,47;79,95;85;86,83;80,44;38,09;50,47;46,13;46,01;48,99;49,39;35,28;39,68;64,63;57,32;39,92;47,03;73,5;80,23;73,02;64,92;58;54,61;58,45;66,8;65,63;65,77;84,56;129,24;82,4;85,52;89,5;94,24;96,18;89,57;25,67;37,23;37,45;32,61;41,82;37,11;30,45;35,69;52,8;50,58;30,91;34,77;60,01;65,41;53,15;49,1;50,89;50,43;50,56;65,84;61,59;57,91;66,41;116,29;73,61;75,16;77,88;81,87;84,96;78,7;32,85;42,94;40,81;35,86;43,95;39,55;29,91;37,33;60,94;52,56;35,85;47,66;69,2;78,19;62,73;58,86;56,62;58,03;57,07;68,33;64,04;62,88;87,17;135,81;83,65;86,71;91,24;96,92;98,87;91,48
2400000;ŚLĄSKIE;43,12;52,44;50,83;44,01;46,78;50,41;36,08;45,54;68,58;65,04;46,75;59,95;77,82;88,09;78,61;66;65,61;61,4;65,92;72,16;70,12;76,42;96,49;148,66;92,77;96,89;102,25;107,41;109,6;101,78;29,71;37,94;39,98;35,09;38,65;40,96;28,05;38,01;57,27;61,06;33,06;41,72;77,93;77,41;61,47;52,5;50,18;51,39;56,4;62,42;63,45;56,45;74,76;119,84;75,38;77,98;80,88;85,77;87,97;81,6;33,09;49,48;44,56;37,6;43,94;50,64;35,1;38,26;60,64;58,92;40,52;45,2;72,22;78,41;73,32;58,62;55,27;53,67;57,07;65,36;66,05;61,61;76,4;129,39;79,76;82,64;85,96;90,83;93,72;86,58;29,59;44,66;36,1;46,72;45,47;42,52;28,35;40,86;48,38;50,48;31,98;40,74;57,81;56,79;48,35;44,3;41,35;45,42;49,15;50,72;58,42;53,9;64,36;99,61;65,4;68,34;70,32;73,61;75,46;70,63;35,78;46,43;40,98;36,27;42,48;45,7;29,15;34,46;56,01;51,2;37,63;45,49;68,27;76,03;67,48;54,32;51,86;52,39;55,62;63;64,59;61,75;83,5;127,78;80,12;83,55;87,34;92,46;94,25;87,54
2600000;ŚWIĘTOKRZYSKIE;42,79;51,25;49,49;43,46;46,27;52,47;34,59;42,21;69,21;66,85;45,45;55,88;80,04;85,61;82,4;66;60,5;58,69;64,25;70,16;71,85;73,1;96,81;145,91;91,57;95,85;100,65;106,16;108,03;100,45;30,77;30,11;36,34;34,9;38,94;42,16;28,2;34,63;62,74;56,45;34,33;35,39;70,3;69,56;63,01;57,84;52,5;44,62;55,39;58,96;59,55;51,18;70,23;117,99;71,58;74,11;77,02;82,19;84,58;77,9;37,99;48,28;47,96;45,74;44,1;48,43;33,46;40,12;62,21;60,94;38,98;45,21;73,92;77,53;75,24;64,56;55;52,04;59,81;67,04;70,66;64,32;82,79;127,08;82,38;85,45;88,4;93,22;95,31;88,95;31,1;42,29;36,81;34,16;42,86;39,45;38,63;52,75;68,32;51,32;27,06;31,32;65,6;62,8;58,51;52,59;48,13;50,55;54,24;56,53;63,73;54,79;69,43;115,54;72;75,1;77,37;81,89;84,38;78,15;34,75;48,49;39,78;35,96;39,41;40,27;30,57;35,77;58,3;46,67;38,56;40,47;73,64;77,63;72,85;60,89;53,94;54,53;57,27;65,41;63,1;61,02;83,07;129,41;80,4;83,4;87,46;92,75;94,68;87,74
2800000;WARMIŃSKO-MAZURSKIE;44,12;50,06;51,05;44,63;44,75;44,69;37,65;43,17;70,52;59,53;49,16;61,17;83,83;89,77;78,77;69,78;68,31;63,21;67,39;74,49;72,64;75,65;97,63;153,43;94,77;98,82;104,06;109,74;112,16;103,91;31,26;34,85;35,88;33,14;34,15;35,24;27,89;38,85;60,88;51,71;33,3;44,03;78,72;73,38;55,64;52,6;50,88;50,53;55,65;62,74;58,64;52,64;73,99;117,1;73,02;75,08;78,37;83,51;85,42;79,08;37,9;49,69;45,67;46,62;50;50,92;36,89;41,23;67,49;61,75;41,25;50,81;75,34;83,17;73,65;62,34;60,57;56,14;65,2;71,07;72,61;66,23;83,68;130,05;84,73;87,46;90,43;95,27;97,59;91,1;31,57;40,26;38,38;34,38;42,1;45,19;29,21;36,26;51,34;54,61;34,4;36,7;59,2;64,42;50;50,16;45,5;51,08;51,34;55,14;59,68;55,15;61,38;108,52;67,97;70,54;72,71;76,22;79,19;73,33;36,38;46,49;39,34;37,12;43,57;41,26;30,1;36,82;60,67;46,37;37,15;46,99;71,72;80,11;66,37;58,08;54,8;55,75;57,67;66,46;63,54;61,1;83,02;132,53;81,33;84,3;88,46;93,93;96,11;88,83
3000000;WIELKOPOLSKIE;43,38;52,22;51,47;44,03;46,28;48,89;38,01;45,35;72,17;70,66;48,64;59,94;82,33;90,96;81,14;69,78;67,87;63,59;67,22;73,03;73,56;76,14;97,69;152,73;94,63;98,95;104,03;109,61;111,99;103,84;31,21;36,95;37,34;33,82;36,7;36,27;28,39;38,26;58,54;55,87;32,3;43,25;72,35;75,54;53,98;53,28;51,41;51,51;54,73;54,3;62,1;54,96;73,82;116,18;72,27;75,87;78,62;83,35;85,26;79,07;39,7;52,01;50,55;45,96;49,43;50,4;38,86;40,58;65,11;65,96;41,04;49,04;72,47;80,78;74,26;61,78;59,96;58,1;60,87;68,31;69,27;63,64;79,82;130,23;82,25;85,04;88,2;93,11;95,77;88,87;29,94;40,58;41,89;34,92;39,81;42,35;30,25;33,65;54,83;50;36,41;37,04;70,38;68,98;54,88;53,15;49,72;54,78;52,45;56,55;68,83;62,03;67,92;124,94;76,05;79,95;82,18;86,21;89,87;82,85;34,75;45,77;42,32;38;43;40,96;32,04;37,57;60,18;56,91;38,59;46,28;72,59;82,62;65,38;59,29;57,07;58,07;58,85;65,65;65,35;62,52;82,56;130,48;81,31;84,44;88,26;93,41;95,58;88,6
3200000;ZACHODNIOPOMORSKIE;42,89;48,86;50,02;43,7;44,65;45,01;36,87;45,26;71,23;61,13;49,25;58,39;79,11;89,25;78,13;69,58;69,97;64,37;66,19;72,28;72,9;77,24;97,16;153,87;94,69;99,17;104,43;109,86;112,4;104,11;28,79;34,26;35;32,86;34,52;32,27;28,87;38,52;59,88;45,46;33,72;43,35;70,1;73,91;55,86;55,69;53,31;52,68;54,2;62,84;62,88;61,03;76,75;131,41;78,98;82,21;86,08;91,09;93,95;86,46;37,65;47,59;46,46;39,8;45,98;44,43;35,29;39,68;59,62;53,7;40,57;46,99;70,92;78,84;70,31;58,27;59,42;54,6;57,17;64,8;64,62;63,14;75,69;127,24;79,1;81,96;85,43;89,88;92,72;85,82;26,42;37,18;34,77;31,19;39,89;36,07;29,52;34,14;52,88;49,51;27,18;34,11;62,12;66,1;47,57;50,33;50,25;49,87;51,07;54,19;59,69;59,07;62,91;117,25;70,62;73,91;76,75;80,29;83,76;77,07;33,6;45,49;37,82;35,09;44,73;39,51;31,49;36,42;59,96;50,95;36,06;46,05;70,21;79,16;61,76;60,5;59,36;58,65;59,14;67,92;68,1;66,03;83,92;146,71;86,54;90,26;94,69;100,42;103,72;95,13
